,RF PCA 95%,RF PCA 100%,RF no PCA
occ_total_sum,0.03933045252640134,0.02289946475687258,0.019978517768157945
oldest_phylostratum,0.019345417591623292,0.017732684482249062,0.0093740475585249
cds_length,0.004948863339330423,-0.00209550824911805,0.0106637402605942
dnase_gene,0.00018297246742516872,0.00040496283396834754,0.00037033243079285236
dnase_cds,-0.000678166943144276,0.0008420478434932877,0.0002975095196722344
H3k4me1_gene,-0.000846263600209629,0.0006314199561333278,0.0010792755901395056
H3k4me3_gene,0.00022823743323415746,4.2639869521510224e-05,-0.0008209913780203637
H3k27ac_gene,-0.0009506705377775426,-0.0009303205936448289,0.00040026254187575105
H3k4me1_cds,-0.002114383931064645,0.0017580989405161507,0.0017412158285602386
H3k4me3_cds,0.0008605656293126818,0.0016814188390236074,-0.000329020446481465
H3k27ac_cds,-0.0017601271329255707,0.0013096109802195443,0.0001764190350447059
lamin_gene,-0.0011370006881124995,0.0023540032366674455,0.00015247494617844914
repli_gene,-0.0002158055060049624,0.0019896989831771016,0.000936348770947315
nsome_gene,-0.002884547135705251,0.0024774965611987555,0.0013951014946927964
nsome_cds,-0.002365530112252856,0.000815089665975699,1.224605249227073e-05
transcription_gene,0.0008952900209238778,-0.0005300158966829782,0.0021375368698920314
repeat_gene,0.001462334660680653,0.001234469539367089,0.0013069552097994541
repeat_cds,0.0029488318876170873,0.0049617168586198026,-0.0009265898685310136
recomb_gene,-0.002007915631204027,-0.00017968605421235794,0.0010230828604585352
AAA_freq,0.00023561158494105338,0.005543098727633011,0.0008321203207326989
AAC_freq,-0.0007445343085064837,0.02243717100590037,-0.0007890589003509251
AAG_freq,0.0020986368232409403,0.01180930472351951,-0.0008572658295510571
AAT_freq,0.000347711441580778,0.013859433022523803,0.0003703956634218852
ACA_freq,0.002683681193533005,0.016669069506570443,-0.0003069733364866045
ACC_freq,0.0026077083049098836,0.02477300540048797,0.00021062788735983772
ACG_freq,0.0028521178691209292,0.01833253027894437,0.00030513959024407454
ACT_freq,0.0022682423124999575,0.019911617646624837,-0.0006824065326894502
AGA_freq,0.0014740865508648614,0.02134423716788635,0.0014131227939715996
AGC_freq,0.00040253942833534673,0.027785386770806563,0.00048332913890215546
AGG_freq,-0.001696182399536239,0.02187838426300045,-4.5274562398689434e-05
AGT_freq,-0.0014977603404945695,0.017813306084285673,-0.0001712761145489572
ATA_freq,-0.00044215158620770635,0.021489271741380166,0.001078453565961901
ATC_freq,-0.0003087368184381711,0.018265862010384392,-5.5433938133342405e-06
ATG_freq,0.0018277483165895282,0.0003604681406613186,-0.00037079613673935975
ATT_freq,0.0010663618400612474,0.025013963872248114,0.0003745479393960638
CAA_freq,0.0009663963944435361,0.02757256681897292,0.0006415793318670926
CAC_freq,0.0011287127366263027,0.012667413654791126,-0.00019720149245873176
CAG_freq,0.0006347083257360775,0.024129444779577337,-0.0006652072575883295
CAT_freq,0.0009290581104405837,0.023859694384057172,0.0003081536788953398
CCA_freq,0.0013012933879572807,0.028024743349297367,0.0005249572863589736
CCC_freq,0.0004986159121017853,0.005536269603695731,0.00042439632862916187
CCG_freq,-0.0006402973801997947,0.02006426121314745,2.0276596381418876e-05
CCT_freq,0.0001842687880421967,0.02095670546199232,-7.657471377756631e-05
CGA_freq,0.004269995107983526,0.02009467610771968,-5.336833891685933e-05
CGC_freq,-6.0757059740845776e-05,0.012836286929436114,0.0006819639042859649
CGG_freq,5.58055400068147e-05,0.023702603455958194,-5.669859071433247e-06
CGT_freq,0.002959393712972491,0.016416834549296756,-0.0012562847963889067
CTA_freq,0.0004011793542453179,0.01798483512935072,0.0014967374071164663
CTC_freq,0.0034104070319230574,0.01562541496412807,-0.000369700104502535
CTG_freq,3.3831842989628937e-05,0.02758592998124515,0.0006725000874717501
CTT_freq,-0.00036666747421068015,0.014435334730352856,0.0008946363133184642
GAA_freq,0.0014831607951843017,0.020362276593852147,0.00047683725565319526
GAC_freq,0.00154478915238907,0.026363348176139056,-0.00026783233910570025
GAG_freq,-0.0021672568113148215,0.015684305619315074,-0.00027961468565171896
GAT_freq,0.0024311749382547655,0.01535210246383827,0.0005487749099671868
GCA_freq,0.00029485981248830175,0.022248084367502908,0.0014997093406817097
GCC_freq,-0.0005774789581662442,0.0261550388185109,-6.177827858027119e-05
GCG_freq,-0.000744321796929881,0.016910723537250084,0.00030492881481390953
GCT_freq,0.0011884284896419794,0.028194565113378145,-0.0011475457519688037
GGA_freq,0.001362156703486439,0.021896489872451342,0.0004265883931028558
GGC_freq,-0.00027280111084054814,0.026236693220155295,0.0017157330790537827
GGG_freq,0.0004451054971219448,0.004347601565302584,0.0004875657250484333
GGT_freq,0.0011739564512776913,0.012837382961672994,0.0010483126794488483
GTA_freq,-0.0021286222066947192,0.02013883356033842,0.0006352560689622755
GTC_freq,-0.0006595084267216001,0.015171193912131075,7.796583161649995e-05
GTG_freq,0.00015030943810665499,0.013989354997675096,2.128831844621093e-05
GTT_freq,-0.0014541954672980695,0.02591892818164453,0.0001225869901815946
TAA_freq,0.00024411204800383056,0.03121200509402052,0.00044066819183761206
TAC_freq,0.0007147826877868968,0.017361487872192473,0.0014660063493989628
TAG_freq,0.000572548689589858,0.013344993430129747,0.0013107491675423799
TAT_freq,-0.000842544647619703,0.01982024649765003,0.0009081891734778024
TCA_freq,0.002434596374637499,0.020073134858757204,-1.3236697014218368e-05
TCC_freq,0.001200562900664026,0.021959069097666106,-0.0006940834915203809
TCG_freq,0.002585883365996344,0.01767451046352462,-0.00034567170546414563
TCT_freq,0.0015934755545808144,0.016031747838392507,0.0005395851012121699
TGA_freq,-0.0022833093832786535,0.01502527408183052,4.51480971404461e-05
TGC_freq,-0.0011311778709145238,0.020374101095484175,-0.00021454831036102907
TGG_freq,0.0013552713284055607,0.015227428796898024,0.003450077628590842
TGT_freq,0.00031060692031195105,0.017356808657642896,0.000828537138419938
TTA_freq,0.00021331912055908565,0.028951649380973575,0.0005820141953035817
TTC_freq,-0.0006153272699530698,0.02188181990251207,-0.00032301334672184544
TTG_freq,-0.001890545487465456,0.023593000232274453,0.00030010205746321405
