,SVM PCA 95%,SVM PCA 100%,SVM no PCA
occ_total_sum,0.025759293237499092,0.024461080397885693,0.01877688704080991
oldest_phylostratum,0.008203881906466814,0.0074519775778929985,0.007427135987670519
cds_length,0.006736829488786356,0.0047589760645421865,0.004869966313870789
dnase_gene,0.0011921049399165717,0.0018430649660792775,0.002267058371726105
dnase_cds,0.0010553749915526267,-6.505994043458641e-05,0.0010355396883812151
H3k4me1_gene,0.0010416892460216264,-7.723189239998707e-05,0.0010776104642413076
H3k4me3_gene,-8.015936668153145e-05,0.00044393337484940345,5.636135002509146e-05
H3k27ac_gene,0.0002553114080889096,0.00047200601054415704,0.0004129933778575845
H3k4me1_cds,0.0011494326153416612,0.0014465336295174992,0.0008502680852696565
H3k4me3_cds,0.00025356881316104254,9.296114018615409e-05,-0.00021857412107699757
H3k27ac_cds,0.0006122033497774181,0.0009530981260765681,0.0006911747905840815
lamin_gene,-0.000205031169073,0.00055236660890704,0.00017477498668952985
repli_gene,0.00034048604797741743,0.002523665660480534,0.0013750567512846091
nsome_gene,0.00013349977240009192,0.0013990030142724374,0.001697079453484651
nsome_cds,0.0005019098415385614,-0.001273983352712771,0.0012605635376210956
transcription_gene,0.00011356618651794381,-0.0003859880260565607,0.0008663291730479194
repeat_gene,0.0007099586749987452,0.0002853122684275511,0.0006606966633827871
repeat_cds,0.0015562647775237304,0.0010440020349446466,0.0017525555467029941
recomb_gene,0.00032416515889699404,-0.00031814225154540575,-0.0005107510223662182
AAA_freq,0.0005821967151660057,0.0005613241369378907,0.0022139851184115322
AAC_freq,0.00047883108432327236,0.0007357173501317593,0.0011287445835983846
AAG_freq,0.001097919809181569,0.0002830407421804959,0.0004649284438492551
AAT_freq,0.0002324026601348228,0.00023803880709727387,0.0008235839158112657
ACA_freq,-0.00027418243608826607,0.00029512697617423145,0.00046964981348482924
ACC_freq,0.0001974232546317456,-0.00025895399216453453,0.00018480789716517342
ACG_freq,0.0013390779462710723,-0.0005006358130542731,0.0003464304970126952
ACT_freq,4.0972231962288495e-05,0.00037261602248896966,0.0011065710083454472
AGA_freq,0.0009064893810089902,0.002235824711891188,0.003109527766079756
AGC_freq,3.1664224908589664e-05,0.0008251211944970804,-0.00019425063643639938
AGG_freq,4.9005169556559645e-05,0.00018116493294924042,0.0010588092958709993
AGT_freq,2.4311324359360675e-05,0.0005128077650196295,0.0017007891010554332
ATA_freq,0.001415582113835634,0.0015466522203311684,0.001411310125272258
ATC_freq,0.0009412137726202086,9.471835860370703e-05,0.000521163328616192
ATG_freq,-7.807675323121544e-05,-0.00025179654153701937,-0.000510034385903646
ATT_freq,0.0004989771817819344,0.00032491397130077757,0.00037918499885970515
CAA_freq,0.002100209408907483,2.785834076557414e-06,8.987464342066209e-05
CAC_freq,0.0001962756921182751,3.231567528829693e-05,-8.043190414942502e-05
CAG_freq,-0.0006729816606760198,0.0007568896891137711,0.00034061309514022976
CAT_freq,0.0012803822488229976,0.0013911598198722563,-0.0005679554741119363
CCA_freq,0.0011682611410256173,0.0009612413333773273,0.0012276825705159645
CCC_freq,-1.1518127450060866e-05,0.0003656300078046515,0.0003498029038953021
CCG_freq,-0.00015781109675953032,-0.0005602955212788529,-0.000321474686081602
CCT_freq,0.0007623215274651596,-0.00012827694448001026,0.0001472898705965564
CGA_freq,0.0015370112286866356,0.0005361230532913042,0.0018009495854679702
CGC_freq,0.0002869756329975548,-0.0008448791869479,0.0005739836514145891
CGG_freq,1.827599558481552e-05,-0.0002496535922473231,-0.0006466590197340749
CGT_freq,0.0008537440077047709,-7.25174039626908e-05,-6.078763405843457e-05
CTA_freq,0.00029403101733962436,-0.00010213296314597331,-0.0002655770420028625
CTC_freq,0.0010966872420374752,0.0005251511529281272,-0.00015445623522198916
CTG_freq,0.0006108857780027233,-0.0002894267310637244,0.0004789239324119454
CTT_freq,-2.9751620723716953e-07,0.0006893867864889546,0.0005807284651796807
GAA_freq,0.00043760383846902506,-0.00022539540628817577,0.00018674703112268043
GAC_freq,0.0005336165687625849,0.0007457892117932685,0.00019344968980178345
GAG_freq,-0.00010748835542818691,0.000718273742913822,0.0008232045200369465
GAT_freq,0.00038804613881335823,0.0003558581590436649,7.878785579421566e-05
GCA_freq,-0.0003540017842472376,0.0006089833291403224,0.001257907767201094
GCC_freq,-8.887234132083366e-05,0.00018892240937787853,-8.894723152795825e-05
GCG_freq,0.0005714436293916769,-0.00032457109941441686,0.0009053226276277027
GCT_freq,0.001953576421075487,0.0012292385715442777,0.0030307399102855624
GGA_freq,0.0005827067429497346,0.0002708259312293682,-9.19402426362459e-05
GGC_freq,0.00019546814812734236,0.0016081977239307266,0.0016679081339503355
GGG_freq,-0.0007577312774113776,0.0010527024090607351,0.00012355655716043135
GGT_freq,0.00015827862222791422,-0.00019685132174971365,0.0004876921903066211
GTA_freq,-0.0002012909653253625,0.0017703761261734009,0.0010277831525512648
GTC_freq,0.0002855730565922143,0.0004934355034409532,0.0003467677377009482
GTG_freq,0.0006971654780893788,0.0002064088755816096,0.0006919757372186753
GTT_freq,0.0004087872686864058,0.00011049046537573438,0.0001127227000500941
TAA_freq,0.0008640295680106714,0.0006579282909165207,0.0006366261092583758
TAC_freq,0.0015825312083875055,0.0013544725280330127,-0.00018708427181091114
TAG_freq,0.0014013863405208716,0.0031523212641000444,0.00328944567326519
TAT_freq,0.000254333854836708,0.00024365333423623792,0.0009566253673288893
TCA_freq,-0.0003361933141308282,-0.0005599097904066874,-2.6852789802500608e-05
TCC_freq,0.000830920264381374,0.00012009087819347952,0.0005830469949114514
TCG_freq,0.002060809762611804,0.0013498866165530977,0.0010095721553853299
TCT_freq,0.004045412873866272,0.0030121723805552002,0.003191224322810182
TGA_freq,0.0002740974314575428,-0.00017662188045515227,9.021188410951453e-06
TGC_freq,0.0008060564099228729,0.0004807492436460392,0.001224605249235633
TGG_freq,0.0007021382489810879,0.004268926420978947,0.005049589135454014
TGT_freq,0.0006926602326661313,0.00022766693253524207,0.0004788817773259124
TTA_freq,0.0004551572946935867,0.003305885010198284,0.003222250466129861
TTC_freq,0.0012349897760680407,0.00039730279830602067,0.0006076655651543028
TTG_freq,-0.00014421035585914231,0.0013718732762651787,0.0019548999596575856
